ts,value,unit
2025-08-19T18:21:06.598046,302.3,mm
2025-08-19T18:21:17.866214,324.5,mm
2025-08-19T18:21:29.127052,325.6,mm
2025-08-19T18:21:40.388759,290.4,mm
2025-08-19T18:21:51.566897,272.7,mm
2025-08-19T18:22:02.808707,283.5,mm
2025-08-19T18:22:14.025824,315.6,mm
2025-08-19T18:22:25.277714,332.3,mm
2025-08-19T18:22:36.505308,315.0,mm
2025-08-19T18:22:47.721186,280.9,mm
2025-08-19T18:22:58.950767,268.1,mm
2025-08-19T18:23:10.203652,296.3,mm
2025-08-19T18:23:21.431377,321.8,mm
2025-08-19T18:23:32.690394,327.4,mm
2025-08-19T18:23:43.910746,297.1,mm
2025-08-19T18:23:55.155149,272.3,mm
2025-08-19T18:24:06.360620,277.1,mm
2025-08-19T18:24:17.552270,306.3,mm
2025-08-19T18:24:28.846511,328.2,mm
2025-08-19T18:24:59.439599,274.0,mm
2025-08-19T18:25:10.696099,277.9,mm
2025-08-19T18:25:21.936800,313.8,mm
2025-08-19T18:25:33.166473,331.6,mm
2025-08-19T18:25:44.425203,317.0,mm
2025-08-19T18:25:55.716108,284.3,mm
2025-08-19T18:26:06.991697,269.0,mm
2025-08-19T18:26:18.174567,290.8,mm
2025-08-19T18:26:29.448454,321.6,mm
2025-08-19T18:26:40.646679,326.9,mm
2025-08-19T18:26:51.907230,301.2,mm
2025-08-19T18:27:03.127202,274.1,mm
2025-08-19T18:27:14.367376,273.3,mm
2025-08-19T18:27:25.565354,306.7,mm
2025-08-19T18:27:36.805167,326.3,mm
2025-08-19T18:27:48.058837,317.5,mm
2025-08-19T18:27:59.273805,290.6,mm
2025-08-19T18:28:10.448952,272.4,mm
2025-08-19T18:28:21.642173,288.6,mm
2025-08-19T18:28:32.821093,316.0,mm
2025-08-19T18:28:44.015383,327.7,mm
2025-08-19T18:28:55.235795,305.3,mm
2025-08-19T18:29:37.763990,324.7,mm
2025-08-19T18:29:06.514819,277.1,mm
2025-08-19T18:30:14.017586,272.0,mm
